name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score,commissioning_year
Rollins (1P),CAISO,hydro,active,12.1,39.134259,-120.953341,Placer,CA,,,,,,,,,,,,,,,,1980
J K Smith (GT1),PJM,natural_gas,active,119.0,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,1999
J K Smith (GT10),PJM,natural_gas,active,108.2,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,2010
J K Smith (GT2),PJM,natural_gas,active,119.0,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,1999
J K Smith (GT3),PJM,natural_gas,active,119.0,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,1999
J K Smith (GT4),PJM,natural_gas,active,87.6,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,2001
J K Smith (GT5),PJM,natural_gas,active,87.6,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,2001
J K Smith (GT6),PJM,natural_gas,active,94.9,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,2005
J K Smith (GT7),PJM,natural_gas,active,94.9,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,2005
J K Smith (GT9),PJM,natural_gas,active,108.2,37.8833,-84.1017,Clark,KY,,,,,,,,,,,,,,,,2010
J S Eastwood (1),CAISO,storage,active,199.8,37.147926,-119.2567,Fresno,CA,,,,,,,,,,,,,,,,1987
Volta 2 (1),CAISO,hydro,active,1.0,40.45193,-121.86215,Shasta,CA,,,,,,,,,,,,,,,,1981
Alta Powerhouse (1),CAISO,hydro,active,1.0,39.215979,-120.80355,Placer,CA,,,,,,,,,,,,,,,,1902
Angels (1),CAISO,hydro,active,1.4,38.071944,-120.539444,Calaveras,CA,,,,,,,,,,,,,,,,1940
Balch 1 (1),CAISO,hydro,active,31.0,36.909137,-119.087712,Fresno,CA,,,,,,,,,,,,,,,,1927
Balch 2 (2),CAISO,hydro,active,48.6,36.908907,-119.087556,Fresno,CA,,,,,,,,,,,,,,,,1958
Balch 2 (3),CAISO,hydro,active,48.6,36.908907,-119.087556,Fresno,CA,,,,,,,,,,,,,,,,1958
Belden (1),CAISO,hydro,active,117.9,40.007445,-121.249438,Plumas,CA,,,,,,,,,,,,,,,,1969
Bucks Creek (H1),CAISO,hydro,active,33.0,39.91062,-121.327692,Plumas,CA,,,,,,,,,,,,,,,,1928
Butt Valley (1),CAISO,hydro,active,40.0,40.175656,-121.190663,Plumas,CA,,,,,,,,,,,,,,,,1958
Caribou 1 (1),CAISO,hydro,active,23.8,40.085476,-121.148241,Plumas,CA,,,,,,,,,,,,,,,,1921
