name,market,asset_type,status,capacity_mw,latitude,longitude,county,state,interconnection_node,pricing_hub_node,estimated_lcoe,offtake_price_mwh,overall_score,price_score,location_score,curtailment_score,interconnection_score,regulatory_score,financial_score,environmental_score,grid_stability_score,demand_proximity_score,development_risk_score
Rollins,CAISO,hydro,active,12.10,39.134259,-120.953341,Placer,CA,NP15,NP15,,,66.00,55.15,57.15,95.91,70.61,50.00,58.60,78.43,50.00,47.31,56.22
J K Smith,PJM,natural_gas,active,1055.00,37.883300,-84.101700,Clark,KY,WESTERN HUB,WESTERN HUB,,,66.95,52.78,58.00,88.00,70.00,50.00,94.75,12.00,50.00,87.30,42.00
Venice Hydro,CAISO,hydro,active,10.10,34.011350,-118.416800,Los Angeles,CA,SP15,SP15,,,55.41,45.35,49.21,93.33,45.43,50.00,55.75,77.57,50.00,45.70,25.00
J S Eastwood,CAISO,hydro,active,199.80,37.147926,-119.256700,Fresno,CA,NP15,NP15,,,71.23,55.15,57.15,95.91,70.61,50.00,79.84,91.83,50.00,72.41,56.22
Angels,CAISO,hydro,active,1.40,38.071944,-120.539444,Calaveras,CA,SP15,SP15,,,51.72,45.35,49.21,93.33,45.43,50.00,40.78,68.13,50.00,28.01,25.00
Balch 1,CAISO,hydro,active,31.00,36.909137,-119.087712,Fresno,CA,NP15,NP15,,,67.75,55.15,57.15,95.91,70.61,50.00,65.72,82.92,50.00,55.73,56.22
Balch 2,CAISO,hydro,active,97.20,36.908907,-119.087556,Fresno,CA,NP15,NP15,,,69.88,55.15,57.15,95.91,70.61,50.00,74.38,88.38,50.00,65.96,56.22
Belden,CAISO,hydro,active,117.90,40.007445,-121.249438,Plumas,CA,NP15,NP15,,,70.24,55.15,57.15,95.91,70.61,50.00,75.84,89.31,50.00,67.69,56.22
Bucks Creek,CAISO,hydro,active,66.00,39.910620,-121.327692,Plumas,CA,NP15,NP15,,,69.16,55.15,57.15,95.91,70.61,50.00,71.45,86.53,50.00,62.49,56.22
Butt Valley,CAISO,hydro,active,40.00,40.175656,-121.190663,Plumas,CA,NP15,NP15,,,68.23,55.15,57.15,95.91,70.61,50.00,67.65,84.14,50.00,58.01,56.22
Caribou 1,CAISO,hydro,active,73.80,40.085476,-121.148241,Plumas,CA,NP15,NP15,,,69.37,55.15,57.15,95.91,70.61,50.00,72.29,87.07,50.00,63.49,56.22
